Recruitment Number,Position Number,Classification,Department,Interview Date,Selection,Job Offer Date,Effective Date,Comments,Date Verification
2867825,123-005-101-001,Software Engineer,Sales,2022-03-31,Melissa Miller,2022-04-19,,declined,Dates OK
2867825,123-005-101-002,Software Engineer,Sales,2022-08-27,Jennifer Wilson,2022-09-13,2022-10-22,transfer,Dates OK
1445199,123-004-118-001,Network Engineer,Marketing,2022-01-07,Donna Moore,2022-02-01,2022-03-25,,Dates OK
1445199,123-004-118-002,Network Engineer,Marketing,2022-10-12,Margaret Perez,2022-10-17,,declined,Dates OK
1445199,123-004-118-003,Network Engineer,Marketing,2022-04-15,Edward Perez,2022-04-18,,rescinded,Dates OK
1445199,123-004-118-004,Network Engineer,Marketing,2022-09-28,Mia Thompson,2022-10-24,2022-10-27,new to org,Dates OK
1445199,123-004-118-005,Network Engineer,Marketing,2022-03-22,Jackson Harris,2022-04-09,2022-04-28,transfer,Dates OK
7067228,123-004-119-001,Account Manager,Marketing,,,,,cancelled,Dates OK
4823498,123-005-125-001,Security Analyst,Sales,2023-04-10,Matthew Moore,2023-05-01,2023-06-24,transfer,Dates OK
7120868,123-006-106-001,Marketing Coordinator,Customer Service,2022-03-15,Sarah Hall,2022-04-04,,declined,Dates OK
7120868,123-006-106-002,Marketing Coordinator,Customer Service,2023-01-24,David Robinson,2023-02-02,2023-04-03,promo,Dates OK
7120868,123-006-106-003,Marketing Coordinator,Customer Service,2022-02-27,Amanda Lee,2022-03-07,2022-04-29,promo,Dates OK
1538552,123-006-126-001,Recruiter,Customer Service,2022-11-19,Susan Collins,2022-11-26,,declined,Dates OK
1538552,123-006-126-002,Recruiter,Customer Service,2023-04-15,Olivia Collins,2023-04-20,2023-05-07,,Dates OK
1538552,123-006-126-003,Recruiter,Customer Service,2022-09-27,Melissa Scott,2022-10-21,,declined,Dates OK
1538552,123-006-126-004,Recruiter,Customer Service,2022-05-22,Lisa Anderson,2022-06-08,2022-07-10,,Dates OK
2525206,123-001-125-001,Security Analyst,Human Resources,2023-03-09,David Gomez,2023-03-29,,declined,Dates OK
2065818,123-007-113-001,Operations Supervisor,Information Technology,2022-01-12,Emily Parker,2022-02-03,2022-03-22,new to org,Dates OK
2065818,123-007-113-002,Operations Supervisor,Information Technology,2022-10-01,Olivia Wright,2022-10-26,,declined,Dates OK
2065818,123-007-113-003,Operations Supervisor,Information Technology,2022-06-11,Charles Ramirez,2022-06-26,2022-06-27,transfer,Dates OK
2065818,123-007-113-004,Operations Supervisor,Information Technology,2022-07-02,Steven Carter,2022-07-19,2022-09-16,new to org,Dates OK
2065818,123-007-113-005,Operations Supervisor,Information Technology,2023-06-04,Kenneth Martin,2023-06-24,,declined,Dates OK
4337174,123-006-105-001,Financial Analyst,Customer Service,2023-05-16,Joshua Lee,2023-05-17,2023-05-25,transfer,Dates OK
4337174,123-006-105-002,Financial Analyst,Customer Service,2022-09-04,Jessica Brown,2022-10-03,2022-11-09,new to org,Dates OK
2321324,123-008-103-001,Project Manager,Research and Development,2023-05-02,William Nelson,2023-05-20,2023-05-31,promo,Dates OK
5446912,123-010-117-001,Quality Assurance,Legal,2023-02-13,Dorothy Martin,2023-03-07,2023-04-18,promo,Dates OK
5446912,123-010-117-002,Quality Assurance,Legal,2022-08-19,Linda Thomas,2022-08-22,2022-09-13,,Dates OK
5446912,123-010-117-003,Quality Assurance,Legal,2022-08-14,Emily Anderson,2022-08-15,,declined,Dates OK
5446912,123-010-117-004,Quality Assurance,Legal,2022-08-23,Kenneth Brown,2022-08-26,,declined,Dates OK
1527021,123-006-128-001,Payroll Specialist,Customer Service,2022-08-08,Kevin Young,2022-08-26,2022-09-04,new to org,Dates OK
8930103,123-008-108-001,Customer Support Rep,Research and Development,2023-03-18,Michael Nelson,2023-03-30,,declined,Dates OK
8930103,123-008-108-002,Customer Support Rep,Research and Development,2022-02-25,Logan Campbell,2022-03-19,2022-04-30,,Dates OK
8930103,123-008-108-003,Customer Support Rep,Research and Development,2022-12-14,Patricia Sanchez,2023-01-09,2023-03-06,transfer,Dates OK
8930103,123-008-108-004,Customer Support Rep,Research and Development,2023-04-05,Richard Gonzalez,2023-04-10,,declined,Dates OK
8077999,123-005-106-001,Marketing Coordinator,Sales,2023-03-30,Jackson Jones,2023-04-25,,declined,Dates OK
8077999,123-005-106-002,Marketing Coordinator,Sales,2022-01-16,Patricia Adams,2022-01-19,2022-03-20,transfer,Dates OK
8077999,123-005-106-003,Marketing Coordinator,Sales,2023-05-13,David Clark,2023-05-29,2023-06-12,promo,Dates OK
8077999,123-005-106-004,Marketing Coordinator,Sales,2022-01-03,David Harris,2022-01-16,2022-02-02,transfer,Dates OK
8633773,123-007-110-001,Legal Advisor,Information Technology,2022-10-31,Elizabeth Gonzalez,2022-11-07,2022-11-11,,Dates OK
8633773,123-007-110-002,Legal Advisor,Information Technology,2022-02-28,Melissa Lee,2022-03-02,2022-04-09,transfer,Dates OK
8633773,123-007-110-003,Legal Advisor,Information Technology,2022-03-24,Patricia Allen,2022-04-21,2022-05-03,promo,Dates OK
8633773,123-007-110-004,Legal Advisor,Information Technology,2022-08-29,John Baker,2022-09-11,,declined,Dates OK
8633773,123-007-110-005,Legal Advisor,Information Technology,2022-09-10,Olivia Torres,2022-09-29,,declined,Dates OK
1666754,123-002-120-001,Executive Assistant,Finance,2022-07-29,Jackson Taylor,2022-08-20,2022-10-05,new to org,Dates OK
1666754,123-002-120-002,Executive Assistant,Finance,2022-11-04,Betty Rodriguez,2022-11-19,2022-12-10,new to org,Dates OK
1666754,123-002-120-003,Executive Assistant,Finance,2022-04-13,James Robinson,2022-04-16,2022-05-21,transfer,Dates OK
